date,hour,station,line,pax_TOTAL
2024-03-01,13,Pichincha,E,121
2024-03-01,13,Piedras,A,1
2024-03-01,13,Plaza Italia,D,4
2024-03-01,13,Plaza Miserere,A,697
2024-03-01,13,Plaza de Mayo,A,1
2024-03-01,13,Primera Junta,A,595
2024-03-01,13,Puan,A,288
2024-03-01,13,Pueyrredon,B,823
2024-03-01,13,Pueyrredon.D,D,1
2024-03-01,13,Pza. de los Virreyes,E,485
2024-03-01,13,Retiro,C,1424
2024-03-01,13,Retiro E,E,289
2024-03-01,13,Rio de Janeiro,A,488
2024-03-01,13,Rosas,B,1195
2024-03-01,13,Saenz Pena ,A,2
2024-03-01,13,San Jose,E,164
2024-03-01,13,San Juan,C,174
2024-03-01,13,San Pedrito,A,1221
2024-03-01,13,Santa Fe,H,732
2024-03-01,13,Scalabrini Ortiz,D,1
2024-03-01,13,Tronador,B,270
2024-03-01,13,Urquiza,E,186
